name,symbol,country,indice
Apple,AAPL,united states,CBOE Volatility Index
AMD,AMD,united states,CBOE Volatility Index
American Airlines,AAL,united states,CBOE Volatility Index
Bank of America,BAC,united states,CBOE Volatility Index
NVIDIA,NVDA,united states,CBOE Volatility Index
Carnival Corp,CCL,united states,CBOE Volatility Index
General Motors,GM,united states,CBOE Volatility Index
Pfizer,PFE,united states,CBOE Volatility Index
AT&T,T,united states,CBOE Volatility Index
Micron,MU,united states,CBOE Volatility Index
Walt Disney,DIS,united states,CBOE Volatility Index
Tesla,TSLA,united states,CBOE Volatility Index
Meta Platforms,FB,united states,CBOE Volatility Index
Intel,INTC,united states,CBOE Volatility Index
Microsoft,MSFT,united states,CBOE Volatility Index
PayPal Holdings Inc,PYPL,united states,CBOE Volatility Index
Hewlett Packard,HPE,united states,CBOE Volatility Index
Freeport-McMoran,FCX,united states,CBOE Volatility Index
Exxon Mobil,XOM,united states,CBOE Volatility Index
J&J,JNJ,united states,CBOE Volatility Index
Wells Fargo&Co,WFC,united states,CBOE Volatility Index
Cisco,CSCO,united states,CBOE Volatility Index
Norwegian Cruise Line,NCLH,united states,CBOE Volatility Index
Verizon,VZ,united states,CBOE Volatility Index
Activision Blizzard,ATVI,united states,CBOE Volatility Index
Citigroup,C,united states,CBOE Volatility Index
Twitter Inc,TWTR,united states,CBOE Volatility Index
Macy’s Inc,M,united states,CBOE Volatility Index
Comcast,CMCSA,united states,CBOE Volatility Index
ViacomCBS,VIAC,united states,CBOE Volatility Index
Host Hotels Resorts,HST,united states,CBOE Volatility Index
United Airlines Holdings,UAL,united states,CBOE Volatility Index
Occidental,OXY,united states,CBOE Volatility Index
Coca-Cola,KO,united states,CBOE Volatility Index
Boston Scientific,BSX,united states,CBOE Volatility Index
Delta Air Lines,DAL,united states,CBOE Volatility Index
Marathon Oil,MRO,united states,CBOE Volatility Index
Viatris,VTRS,united states,CBOE Volatility Index
Bristol-Myers Squibb,BMY,united states,CBOE Volatility Index
Kinder Morgan,KMI,united states,CBOE Volatility Index
Chevron,CVX,united states,CBOE Volatility Index
Western Digital,WDC,united states,CBOE Volatility Index
TJX,TJX,united states,CBOE Volatility Index
Merck&Co,MRK,united states,CBOE Volatility Index
JPMorgan,JPM,united states,CBOE Volatility Index
Coty Inc,COTY,united states,CBOE Volatility Index
Seagate,STX,united states,CBOE Volatility Index
Regions Financial,RF,united states,CBOE Volatility Index
Visa A,V,united states,CBOE Volatility Index
Huntington Bancshares,HBAN,united states,CBOE Volatility Index
General Electric,GE,united states,CBOE Volatility Index
Starbucks,SBUX,united states,CBOE Volatility Index
Schlumberger,SLB,united states,CBOE Volatility Index
CSX,CSX,united states,CBOE Volatility Index
Morgan Stanley,MS,united states,CBOE Volatility Index
Williams,WMB,united states,CBOE Volatility Index
Halliburton,HAL,united states,CBOE Volatility Index
APA Corp,APA,united states,CBOE Volatility Index
Qualcomm,QCOM,united states,CBOE Volatility Index
Coterra Energy,CTRA,united states,CBOE Volatility Index
Abbott Labs,ABT,united states,CBOE Volatility Index
KeyCorp,KEY,united states,CBOE Volatility Index
Oracle,ORCL,united states,CBOE Volatility Index
Southwest Airlines,LUV,united states,CBOE Volatility Index
Boeing,BA,united states,CBOE Volatility Index
Gilead,GILD,united states,CBOE Volatility Index
NextEra Energy,NEE,united states,CBOE Volatility Index
Truist Financial Corp,TFC,united states,CBOE Volatility Index
HP Inc,HPQ,united states,CBOE Volatility Index
Walmart,WMT,united states,CBOE Volatility Index
Lumen Technologies,LUMN,united states,CBOE Volatility Index
Devon Energy,DVN,united states,CBOE Volatility Index
Procter&Gamble,PG,united states,CBOE Volatility Index
Applied Materials,AMAT,united states,CBOE Volatility Index
Medtronic,MDT,united states,CBOE Volatility Index
